,MAE,RMSE,NSE,alpha,beta,HFV,HFV10,LFV,FDC,model
92-63358,0.1169360317950924,0.168134219950611,-5.272853823543868,0.8385845100404501,-3.735491922711312,-0.1577394751607267,-0.3667463794745288,-1466.3594748787136,-632.6671471410015,p3t1
92-63528,0.0098753223613792,0.0211399139601659,0.9678731216309132,1.037431721100282,0.9699704150101096,1.0551671680779868,1.0374766130790107,-1.114937542380165e-11,-4.112417772147922e-15,p3t2
92-63579,0.0146005244916435,0.031181293982359,0.9209508809141967,0.9893609596773372,0.860425491521184,1.0516109209568558,0.9735302892269844,-1.3870052338631661e-09,-3.0716635737503454e-19,p3t2
92-63619,0.0409389456659285,0.0669422030527141,0.7972445354542494,0.7618889884236366,0.5368839208106632,0.8443786217040239,0.7370291330653552,-1.6067220997669873e-12,-9.462603096252444e-17,p3t1
93-49821,0.0232697893135895,0.0564724238112227,0.9560649740758818,1.0088827739007715,0.9994807825350877,1.0826963704762351,1.0042303313623713,-3.7958059724082535e-11,5.0878474436344365e-09,p3t2
93-49879,0.0251181250027893,0.0556170198506334,0.7975104603353833,1.1721059521003647,0.9089920574572676,1.3624059172552112,1.1149136013329064,-2.1490152678291226e-12,4.2944937078592236e-14,p3t1
93-49911,0.0312719635134377,0.0724104844865419,0.6617450856773036,1.0276495180847287,0.7675257470822907,1.0204384177897623,1.006257505603565,-10.24227231576108,6.848116888691168e-05,p3t2
93-50014,0.2356910330849495,0.3159019781757352,0.7467219307857157,0.8144704427684066,1.326138151236092,0.8693570958766172,0.8565687568907614,164.0855344742144,31.807388880170347,p3t1
93-50115,0.0848158723328267,0.1765022611864369,0.8160637737547681,1.2142101191978376,1.1998568490196768,1.0930243065153449,1.209205361599051,-2.586039860075131,0.0063365307031209,p3t2
93-50128,0.0366326213337453,0.0435028888760119,0.925669692506154,0.867743551909172,0.7564805344898918,0.861928316635751,0.8502197609844235,0.2232898398979152,0.634769078215964,p3t2
93-80315,0.0198652267755692,0.0348660928324659,0.9934609631335808,0.9607348531120524,0.9525142309506424,0.9464002257150692,0.9568898840324278,7.61707436038648e-08,0.0280557639851141,p3t2
93-80316,0.202441451138987,0.2555564965581156,0.6891484667090935,1.0842708487617128,0.7498459259335635,1.0677291875442412,1.0600748662658832,0.8320395531086225,0.3717569769590004,p3t1
93-90343,0.0138950385705638,0.0213200322689107,0.971144885980596,0.9479148742880406,0.8461888696924729,0.934217070807453,0.9388327045621812,-3.5135997235953857e-12,0.0002967142121505,p3t2
97-50035,0.1415147991155314,0.2000040800156659,0.772370861595266,0.8801648738144784,0.6130728253913932,0.8220613119570442,0.8586878119485388,-0.0064968202852851,0.0132554035259009,p3t2
